customer_id,first_name,last_name,gender,age,region,income_bracket
1001,Oeshi,Gill,O,52,Thiruvananthapuram,Medium
1002,Harsh,Verma,M,60,Panaji,Low
1003,Jagat,Sehgal,F,36,Amaravati,Low
1004,Widisha,Mody,O,52,Patna,High
1005,Isha,Sahota,O,57,Thiruvananthapuram,Medium
1006,Lakshit,Ahuja,F,46,Panaji,High
1007,Aayush,Dugal,F,22,Itanagar,Low
1008,Lakshit,Tella,M,51,Bengaluru,Medium
1009,Jack,Peri,M,59,Aizawl,Low
1010,Arjun,Dutta,O,64,Bhopal,Low
1011,Lila,Peri,M,23,Kohima,High
1012,Mekhala,Mukherjee,F,24,Patna,High
1013,Akshay,Gandhi,M,18,Delhi,Low
1014,Watika,Sura,M,42,Bengaluru,Low
1015,Samar,Sule,M,41,Shillong,High
1016,Ganga,Andra,F,60,Aizawl,Medium
1017,Qarin,Mander,F,21,Bhubaneswar,Low
1018,Samaksh,Anne,M,19,Mumbai,High
1019,Tarak,Subramaniam,M,48,Hyderabad,Medium
1020,Turvi,Ben,F,53,Mumbai,High
1021,Vansha,Soman,F,63,Jaipur,Low
1022,Qadim,Zachariah,F,60,Bengaluru,High
1023,Gaurav,Rama,M,42,Dehradun,Low
1024,Pushti,Mallick,M,34,Mumbai,Medium
1025,Tejas,Dubey,O,23,Thiruvananthapuram,High
1026,Samarth,Wadhwa,M,59,Bengaluru,Low
1027,Azaan,Vaidya,M,26,Shillong,Low
1028,Veda,Nagi,M,28,Chennai,Low
1029,Hemang,Loke,O,44,Patna,Low
1030,Gabriel,Prakash,F,44,Imphal,Low
1031,Christopher,Gokhale,O,27,Mumbai,Medium
1032,Benjamin,Sabharwal,M,19,Dehradun,Low
1033,Kala,Madan,M,21,Bengaluru,Low
1034,Jai,Panchal,F,28,Imphal,Low
1035,Matthew,Krishnan,O,64,Delhi,Medium
1036,Finn,Mishra,M,63,Kohima,Medium
1037,Pallavi,Borah,M,21,Ranchi,High
1038,Brinda,Dave,F,46,Lucknow,Medium
1039,Brijesh,Saini,M,38,Hyderabad,Low
1040,Ayaan,Varughese,F,61,Bhopal,Medium
1041,Ryan,Sani,F,38,Aizawl,Low
1042,Gopal,Chauhan,M,59,Dehradun,Medium
1043,Qabil,Anand,O,41,Bhopal,Medium
1044,Chanchal,Korpal,M,65,Bhopal,Medium
1045,Nandini,Kari,F,24,Gandhinagar,Low
1046,Harita,Babu,M,46,Chennai,Medium
1047,Aarav,Tiwari,M,20,Bhopal,Low
1048,Wakeeta,Datta,F,36,Shimla,Medium
1049,Ijaya,Jain,F,22,Jaipur,Low
1050,Jagrati,Deep,O,46,Ranchi,Medium
1051,Urvi,Dave,O,60,Kolkata,Low
1052,Dayita,Edwin,F,42,Imphal,Medium
1053,Chaaya,Sarma,F,28,Srinagar,High
1054,Chameli,Prashad,O,32,Bengaluru,Medium
1055,Bakhshi,Kumar,M,28,Kohima,High
1056,Kamala,Mukhopadhyay,F,44,Chandigarh,Medium
1057,Yashodhara,Kapoor,F,26,Jaipur,High
1058,Fitan,Singh,M,44,Gandhinagar,Medium
1059,Janani,Saraf,M,44,Delhi,Low
1060,Owen,Mohan,M,29,Aizawl,Medium
